 名称 , 产地 , 供应商 , 抑制率1 , 抑制率2 , 结果 , 年份 
空心菜,海南临高,东北亚贸易,4.58%,0.18%,合格,04-14
娃娃菜,云南通海,广西泽元,0.00%,2.38%,合格,04-14
莲花白,云南通海,广西泽元,1.28%,0.00%,合格,04-14
圆茄子,琼山大荒洋,湘满园,4.95%,3.30%,合格,04-18
泡椒,琼山七水洋,泳旺,0.00%,0.18%,合格,04-18
地瓜叶,琼山七水洋,泳旺/龙地园,6.41%,3.11%,合格,04-18
菜心,云南通海,广西泽元,0.55%,0.37%,合格,04-18
西芹,云南通海,广西泽元,6.41%,0.00%,合格,04-18
生菜,云南通海,广西泽元,7.14%,3.85%,合格,04-18
红富士,山西运城,椰枝花,4.58%,1.28%,合格,04-18
香梨,山西运城,椰枝花,1.47%,2.56%,合格,04-18
沃柑,广西武鸣,椰枝花,0.00%,0.37%,合格,04-18
芭蕉,海南乐东,椰枝花,0.73%,0.00%,合格,04-18
胡萝卜,云南通海,广西泽元,5.68%,5.68%,合格,04-18
油麦菜,云南通海,广西泽元,4.40%,6.96%,合格,04-17
黑叶白,琼山大荒洋,鑫源丰,0.37%,0.00%,合格,04-20
青梗小白菜,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-20
小黄白,云南通海,银川物流,0.00%,2.56%,合格,04-20
地瓜叶,琼山大荒洋,鑫源丰,9.34%,11.90%,合格,04-20
小黄白,云南通海,广西泽元,18.10%,17.60%,合格,04-17
韭菜,云南通海,银川物流,2.56%,1.83%,合格,04-20
空心菜,琼山大荒洋,鑫源丰,15.90%,10.30%,合格,04-20
白萝卜,云南通海,银川物流,0.00%,0.00%,合格,04-20
芥兰,琼山大荒洋,鑫源丰,7.14%,11.00%,合格,04-20
黄瓜,云南通海,银川物流,0.00%,0.00%,合格,04-20
茄子,琼山大荒洋,鑫源丰,6.59%,3.66%,合格,04-20
泡椒,琼山大荒洋,鑫源丰,5.68%,7.88%,合格,04-20
本地小白菜,琼山七水洋,泳旺,4.82%,11.70%,合格,04-20
上海青,琼山七水洋,泳旺,43.00%,10.10%,合格,04-20
黑叶白,琼山七水洋,泳旺,18.70%,11.70%,合格,04-20
泡椒,琼山七水洋,泳旺,0.18%,4.95%,合格,04-20
地瓜叶,琼山七水洋,泳旺,0.00%,0.00%,合格,04-20
空心菜,琼山七水洋,泳旺,0.00%,1.47%,合格,04-20
地瓜叶,琼山大荒洋,恒鑫,0.00%,0.00%,合格,04-20
空心菜,琼山大荒洋,恒鑫,0.00%,0.37%,合格,04-20
地瓜叶,琼山大荒洋,昌木达,1.65%,6.78%,合格,04-20
芥兰,琼山大荒洋,昌木达,9.52%,3.48%,合格,04-20
圆茄子,琼山大荒洋,湘满园,0.00%,0.00%,合格,04-20
地瓜叶,琼山七水洋,龙地园,4.58%,5.68%,合格,04-20
蒜头,琼山大荒洋,进利,10.10%,2.56%,合格,04-20
菠菜,云南通海,东北亚贸易,4.21%,7.51%,合格,04-20
菜心,云南通海,银川物流,0.55%,1.65%,合格,04-20
尖椒,云南通海,银川物流,7.14%,4.58%,合格,04-20
小葱,云南通海,银川物流,9.71%,4.58%,合格,04-19
圆椒,云南通海,银川物流,1.83%,3.30%,合格,04-19
茄子,云南通海,银川物流,3.30%,1.65%,合格,04-19
白萝卜,云南通海,银川物流,5.13%,5.68%,合格,04-19
黄瓜,云南通海,银川物流,3.85%,7.69%,合格,04-19
油麦菜,云南通海,银川物流,4.58%,3.48%,合格,04-19
生菜,云南通海,银川物流,5.13%,2.75%,合格,04-19
莴笋,云南通海,银川物流,2.20%,3.66%,合格,04-19
山药,山东菏泽,广西泽元,0.00%,4.95%,合格,04-19
芋头,琼山七水洋,泳旺,6.59%,6.59%,合格,04-19
莲花白,云南通海,银川物流,6.23%,6.59%,合格,04-19
南瓜,云南通海,银川物流,4.03%,4.95%,合格,04-20
黄玉米,琼山七水洋,泳旺,0.37%,0.00%,合格,04-20
芋头,琼山七水洋,泳旺,4.03%,0.00%,合格,04-20
土豆,云南通海,银川物流,0.00%,6.23%,合格,04-20
西瓜,海南海口,椰枝花,10.30%,12.10%,合格,04-20
红富士,山西运城,椰枝花,11.00%,5.13%,合格,04-20
蜜梨,山西运城,椰枝花,4.95%,6.41%,合格,04-20
贡梨,山西运城,椰枝花,7.51%,7.33%,合格,04-20
花牛苹果,甘肃,椰枝花,8.61%,7.88%,合格,04-20
香蕉,海南乐东,椰枝花,9.34%,9.71%,合格,04-20
芭蕉,海南乐东,椰枝花,36.10%,9.16%,合格,04-20
丑苹果,陕西延安,玉玉橙橙,16.30%,8.42%,合格,04-20
金针菇,福建漳州,自采,31.20%,12.60%,合格,04-20
杏鲍菇,辽宁大连,自采,31.90%,25.90%,合格,04-20
白玉菇,福建漳州,自采,9.73%,22.00%,合格,04-20
秋葵,海口秀英,自采,25.00%,7.75%,合格,04-20
虫草花,福建漳州,自采,0.00%,9.55%,合格,04-20
鲜香菇,福建漳州,自采,7.57%,0.00%,合格,04-20
平菇,海口秀英,自采,0.00%,25.80%,合格,04-20
西芹,云南通海,银川物流,0.00%,12.80%,合格,04-20
茄子,琼山大荒洋,鑫源丰,2.20%,0.18%,合格,04-11
地瓜叶,琼山大荒洋,昌木达,2.38%,2.01%,合格,04-11
苋菜,琼山大荒洋,昌木达,3.30%,2.75%,合格,04-11
圆茄子,琼山大荒洋,湘满园,5.31%,2.75%,合格,04-11
香菜,琼山七水洋,泳旺,7.51%,6.96%,合格,04-11
泡椒,琼山七水洋,泳旺,1.10%,1.47%,合格,04-11
地瓜叶,琼山七水洋,泳旺/龙地园,0.18%,2.56%,合格,04-11
菜心,琼山大荒洋,恒鑫,0.00%,0.00%,合格,04-11
上海青,琼山大荒洋,恒鑫,0.00%,0.00%,合格,04-11
黑叶白,琼山大荒洋,恒鑫,6.41%,0.00%,合格,04-11
地瓜叶,琼山大荒洋,恒鑫,2.75%,1.83%,合格,04-11
小葱,云南通海,广西泽元,21.20%,16.70%,合格,04-10
黄瓜,云南通海,广西泽元,0.00%,3.85%,合格,04-10
生菜,云南通海,广西泽元,13.40%,12.80%,合格,04-10
白萝卜,云南通海,广西泽元,27.10%,20.70%,合格,04-10
空心菜,海南临高,银川物流,2.20%,3.11%,合格,04-10
西红柿,云南通海,广西泽元,5.13%,0.92%,合格,04-10
外地大白菜,云南通海,广西泽元,14.70%,0.00%,合格,04-10
莲花白,云南通海,广西泽元,6.23%,2.38%,合格,04-10
大葱,云南通海,广西泽元,17.90%,11.90%,合格,04-10
大芥菜,云南陆良,中商,4.40%,8.06%,合格,04-14
韭菜,云南通海,广西泽元,0.00%,10.30%,合格,04-14
香菜,琼山七水洋,泳旺,5.49%,3.66%,合格,04-14
圆椒,云南通海,广西泽元,4.95%,7.14%,合格,04-14
莲藕,琼山七水洋,泳旺,5.68%,12.30%,合格,04-14
冬瓜,云南通海,广西泽元,0.18%,4.21%,合格,04-14
南瓜,云南通海,广西泽元,7.51%,2.75%,合格,04-14
蜜梨,安徽淮化,玉玉橙橙,10.30%,12.30%,合格,04-14
丑苹果,陕西延安,玉玉橙橙,5.49%,2.20%,合格,04-14
西瓜,云南邵通,玉玉橙橙,1.65%,10.40%,合格,04-14
西瓜,海南文昌,椰枝花,12.60%,16.50%,合格,04-14
丑苹果,四川凉山,椰枝花,0.00%,0.00%,合格,04-14
红富士,山西运城,椰枝花,4.95%,9.16%,合格,04-14
蜜梨,四川华蓥,椰枝花,7.33%,20.50%,合格,04-14
花牛苹果,甘肃天水,椰枝花,17.00%,11.70%,合格,04-14
芭蕉,海南乐东,椰枝花,6.41%,9.71%,合格,04-14
菜心,琼山大荒洋,展琼,2.20%,4.40%,合格,04-14
本地小白菜,琼山大荒洋,恒鑫,4.21%,1.65%,合格,04-14
上海青,琼山大荒洋,恒鑫,0.00%,0.00%,合格,04-14
黑叶白,琼山大荒洋,恒鑫,0.00%,0.00%,合格,04-14
芋头,海口琼山,自采,6.23%,0.00%,合格,04-15
地瓜,云南通海,秀英东南鸿,4.58%,0.00%,合格,04-15
韭菜,云南通海,广西泽元,2.38%,1.10%,合格,04-15
香菜,琼山七水洋,泳旺,2.38%,0.92%,合格,04-15
菠菜,云南陆良,中商,2.01%,0.18%,合格,04-15
小葱,云南通海,广西泽元,5.86%,3.11%,合格,04-15
空心菜,海南临高,东北亚贸易,3.66%,5.49%,合格,04-15
油麦菜,云南通海,广西泽元,16.30%,19.00%,合格,04-15
小黄白,云南通海,广西泽元,10.30%,5.49%,合格,04-15
黄瓜,云南通海,广西泽元,6.41%,7.69%,合格,04-15
西红柿,云南通海,广西泽元,13.00%,14.50%,合格,04-15
西芹,云南通海,广西泽元,7.51%,6.23%,合格,04-15
皇帝菜,山东寿光,中商,3.66%,7.69%,合格,04-15
圆椒,云南通海,广西泽元,5.13%,4.76%,合格,04-15
本地大黄瓜,海南乐东,中商,2.75%,3.11%,合格,04-15
大芥菜,云南陆良,中商,4.03%,0.92%,合格,04-15
黄玉米,海南东方,中商,1.83%,3.30%,合格,04-15
土豆,云南通海,广西泽元,5.13%,4.21%,合格,04-15
冬瓜,云南通海,广西泽元,10.80%,2.93%,合格,04-15
南瓜,云南通海,广西泽元,2.75%,4.58%,合格,04-15
黄玉米,琼山七水洋,泳旺,2.56%,1.47%,合格,04-21
尖椒,云南通海,银川物流,8.97%,9.71%,合格,04-21
黄瓜,云南通海,银川物流,5.49%,4.21%,合格,04-21
小葱,云南通海,银川物流,5.68%,3.11%,合格,04-21
金丝白,云南通海,银川物流,1.28%,3.11%,合格,04-21
小黄白,云南通海,银川物流,2.75%,1.83%,合格,04-21
上海青,云南通海,银川物流,3.11%,1.65%,合格,04-21
油麦菜,云南通海,银川物流,2.75%,6.04%,合格,04-21
黑叶白,琼山七水洋,泳旺,11.50%,10.10%,合格,04-21
上海青,琼山七水洋,泳旺,0.37%,2.01%,合格,04-21
本地小白菜,琼山七水洋,泳旺,12.80%,8.24%,合格,04-21
丑苹果,陕西延安,玉玉橙橙,0.00%,0.00%,合格,04-21
苦瓜,云南通海,银川物流,5.86%,11.70%,合格,04-21
胡萝卜,云南通海,银川物流,4.95%,2.38%,合格,04-21
西瓜,海南海口,椰枝花,3.30%,5.86%,合格,04-21
红富士,山西运城,椰枝花,5.31%,3.48%,合格,04-21
蜜梨,山西运城,椰枝花,0.00%,0.92%,合格,04-21
贡梨,山西运城,椰枝花,2.01%,3.85%,合格,04-21
香蕉,海南乐东,椰枝花,10.40%,8.61%,合格,04-21
芭蕉,海南乐东,椰枝花,4.76%,4.40%,合格,04-21
金丝白,云南通海,广西泽元,5.13%,3.66%,合格,04-12
西芹,云南通海,广西泽元,3.30%,0.00%,合格,04-12
黑叶白,琼山大荒洋,昌木达,12.30%,11.90%,合格,04-13
青梗小白菜,琼山大荒洋,昌木达,6.78%,4.95%,合格,04-13
地瓜叶,琼山大荒洋,昌木达,6.23%,7.51%,合格,04-13
苋菜,琼山大荒洋,昌木达,10.80%,7.33%,合格,04-13
菜心,琼山大荒洋,恒鑫,8.42%,1.10%,合格,04-13
本地小白菜,琼山大荒洋,恒鑫,8.79%,5.49%,合格,04-13
上海青,琼山大荒洋,恒鑫,3.85%,3.48%,合格,04-13
黑叶白,琼山大荒洋,恒鑫,4.40%,4.21%,合格,04-13
地瓜叶,琼山大荒洋,恒鑫,8.61%,7.88%,合格,04-13
地瓜叶,琼山七水洋,泳旺,4.58%,3.48%,合格,04-13
泡椒,琼山七水洋,泳旺,4.03%,5.68%,合格,04-13
圆茄子,琼山大荒洋,湘满园,9.34%,8.97%,合格,04-13
地瓜叶,琼山七水洋,龙地园,8.79%,6.78%,合格,04-13
上海青,云南通海,广西泽元,8.97%,6.04%,合格,04-13
生菜,云南通海,广西泽元,5.49%,3.85%,合格,04-13
小黄白,云南通海,广西泽元,1.10%,1.47%,合格,04-13
小葱,云南通海,广西泽元,0.00%,1.28%,合格,04-12
白萝卜,云南通海,广西泽元,1.47%,0.00%,合格,04-12
娃娃菜,云南通海,广西泽元,0.00%,0.00%,合格,04-12
外地大白菜,云南通海,广西泽元,0.00%,0.00%,合格,04-12
黄瓜,云南通海,广西泽元,0.73%,3.30%,合格,04-12
香菜,琼山七水洋,泳旺,9.52%,11.20%,合格,04-12
圆椒,云南通海,广西泽元,1.83%,4.03%,合格,04-12
小黄白,云南通海,广西泽元,0.92%,1.10%,合格,04-12
苦瓜,云南通海,广西泽元,2.56%,5.68%,合格,04-12
胡萝卜,云南通海,广西泽元,3.30%,0.73%,合格,04-12
韭菜,云南通海,广西泽元,6.96%,6.78%,合格,04-12
茄子,云南通海,广西泽元,6.23%,0.92%,合格,04-12
香芋南瓜,海南昌江,许英梅,6.23%,4.03%,合格,04-12
冬瓜,云南通海,广西泽元,8.61%,9.16%,合格,04-12
南瓜,云南通海,广西泽元,6.41%,3.66%,合格,04-12
菜心,云南通海,广西泽元,1.83%,5.13%,合格,04-12
本地小白菜,琼山七水洋,泳旺,4.76%,0.00%,合格,04-12
黑叶白,琼山七水洋,泳旺,8.42%,7.33%,合格,04-12
金针菇,福建漳州,自采,0.00%,0.00%,合格,04-12
杏鲍菇,辽宁大连,自采,0.00%,2.20%,合格,04-12
白玉菇,福建漳州,自采,1.28%,3.30%,合格,04-12
秋葵,海口秀英,自采,4.58%,4.03%,合格,04-12
丑苹果,陕西延安,玉玉橙橙,2.75%,3.30%,合格,04-13
西瓜,云南邵通,玉玉橙橙,6.04%,4.58%,合格,04-13
本地小白菜,琼山七水洋,泳旺,3.85%,1.28%,合格,04-13
金针菇,福建漳州,自采,2.56%,0.00%,合格,04-13
杏鲍菇,辽宁大连,自采,6.04%,2.38%,合格,04-13
土豆,云南通海,广西泽元,0.00%,4.03%,合格,04-10
蒜苔,云南通海,广西泽元,7.14%,8.06%,合格,04-10
白玉菇,福建漳州,自采,2.75%,2.56%,合格,04-13
蒜头,琼山大荒洋,进利,6.96%,2.56%,合格,04-10
西兰花,云南通海,广西泽元,1.47%,0.00%,合格,04-10
娃娃菜,云南通海,广西泽元,2.38%,0.73%,合格,04-10
金丝白,云南通海,广西泽元,0.00%,0.00%,合格,04-10
茄子,云南通海,广西泽元,6.59%,0.00%,合格,04-10
蒜苗,云南通海,东北亚贸易,4.58%,0.92%,合格,04-10
韭菜,云南通海,广西泽元,9.16%,6.78%,合格,04-10
菠菜,云南通海,东北亚贸易,1.65%,0.73%,合格,04-10
秋葵,海口秀英,自采,0.00%,2.01%,合格,04-13
大芥菜,云南陆良,东北亚贸易,8.42%,7.51%,合格,04-10
圆椒,云南通海,广西泽元,9.16%,9.16%,合格,04-10
上海青,云南通海,广西泽元,0.37%,0.00%,合格,04-10
小芥菜,海口秀英,自采,9.52%,1.28%,合格,04-10
油麦菜,云南通海,广西泽元,17.60%,11.50%,合格,04-10
西芹,云南通海,广西泽元,0.00%,2.01%,合格,04-10
苦瓜,云南通海,广西泽元,0.92%,2.38%,合格,04-10
虫草花,福建漳州,自采,0.00%,0.00%,合格,04-13
菜心,云南通海,广西泽元,0.00%,0.00%,合格,04-10
香菜,琼山七水洋,泳旺,0.00%,2.20%,合格,04-10
芋头,琼山七水洋,泳旺,5.49%,5.68%,合格,04-10
平菇,海口秀英,自采,0.00%,0.00%,合格,04-13
鲜香菇,福建漳州,自采,0.00%,0.00%,合格,04-13
茄子,琼山大荒洋,鑫源丰,0.00%,1.47%,合格,04-13
虫草花,福建漳州,自采,2.20%,1.83%,合格,04-12
本地小白菜,琼山大荒洋,鑫源丰,4.58%,0.55%,合格,04-13
上海青,琼山大荒洋,鑫源丰,0.73%,2.20%,合格,04-13
小芥菜,琼山大荒洋,鑫源丰,5.13%,1.83%,合格,04-13
黑叶白,琼山大荒洋,鑫源丰,3.48%,4.40%,合格,04-13
青梗小白菜,琼山大荒洋,鑫源丰,4.40%,3.11%,合格,04-13
平菇,海口秀英,自采,1.65%,6.59%,合格,04-12
地瓜叶,琼山大荒洋,鑫源丰,15.90%,5.49%,合格,04-13
泡椒,琼山大荒洋,鑫源丰,6.78%,3.66%,合格,04-13
上海青,琼山大荒洋,昌木达,1.10%,0.00%,合格,04-13
鲜香菇,福建漳州,自采,0.55%,1.83%,合格,04-12
莲藕,湖北汉川,海南物流,2.01%,2.01%,合格,04-12
红富士,山西运城,椰枝花,6.78%,5.13%,合格,04-12
小芥菜,琼山大荒洋,昌木达,1.83%,6.23%,合格,04-13
贡梨,安徽砀山,椰枝花,0.00%,0.00%,合格,04-12
沃柑,广西武鸣,椰枝花,0.00%,0.00%,合格,04-12
芭蕉,海南乐东,椰枝花,1.28%,0.55%,合格,04-12
蜜梨,安徽淮化,玉玉橙橙,3.30%,6.23%,合格,04-12
香梨,乌鲁木齐,玉玉橙橙,0.00%,1.65%,合格,04-12
丑苹果,陕西延安,玉玉橙橙,3.11%,2.56%,合格,04-12
西瓜,云南邵通,玉玉橙橙,0.92%,0.00%,合格,04-12
菜心,琼山大荒洋,鑫源丰,4.21%,0.00%,合格,04-12
本地小白菜,琼山大荒洋,鑫源丰,2.75%,0.00%,合格,04-12
上海青,琼山大荒洋,鑫源丰,1.10%,0.00%,合格,04-12
小芥菜,琼山大荒洋,鑫源丰,2.38%,1.83%,合格,04-12
黑叶白,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-12
青梗小白菜,琼山大荒洋,鑫源丰,4.03%,0.00%,合格,04-12
地瓜叶,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-12
泡椒,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-12
莲藕,湖北汉川,海南物流,17.00%,3.30%,合格,04-10
山药,河南安阳,海南物流,13.40%,5.49%,合格,04-10
小黄白,云南通海,广西泽元,4.95%,5.49%,合格,04-10
莴笋,云南通海,广西泽元,13.40%,3.48%,合格,04-10
香芋南瓜,海南昌江,许英梅,0.00%,2.93%,合格,04-10
白洋葱,甘肃张掖,东北亚贸易,7.14%,0.00%,合格,04-10
生姜,云南文山,东北亚贸易,8.24%,2.56%,合格,04-10
小香芹,云南通海,广西泽元,0.00%,0.18%,合格,04-09
小芥菜,海口秀英,自采,2.56%,4.21%,合格,04-09
生菜,云南通海,银川物流,1.83%,2.93%,合格,04-09
小葱,云南通海,银川物流,16.70%,21.20%,合格,04-09
上海青,云南通海,银川物流,1.10%,0.92%,合格,04-09
尖椒,云南通海,银川物流,0.00%,0.00%,合格,04-09
茄子,云南通海,银川物流,0.73%,1.28%,合格,04-09
白萝卜,云南通海,银川物流,0.00%,0.55%,合格,04-09
圆椒,云南通海,银川物流,2.38%,0.00%,合格,04-09
黄瓜,云南通海,银川物流,1.10%,0.00%,合格,04-09
蒜苗,云南通海,东北亚贸易,1.10%,3.85%,合格,04-09
胡萝卜,云南通海,银川物流,1.47%,1.10%,合格,04-09
韭菜,云南通海,银川物流,1.28%,1.83%,合格,04-09
南瓜,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-11
莴笋,云南通海,广西泽元,3.11%,4.76%,合格,04-11
油麦菜,云南通海,广西泽元,7.69%,0.00%,合格,04-11
芥兰,海口琼山,自采,3.30%,3.66%,合格,04-11
上海青,云南通海,广西泽元,0.00%,6.41%,合格,04-11
小黄白,云南通海,广西泽元,5.49%,5.13%,合格,04-11
红富士,山西运城,椰枝花,4.76%,7.88%,合格,04-11
香梨,新疆库尔勒,椰枝花,4.76%,6.23%,合格,04-11
贡梨,安徽砀山,椰枝花,0.00%,2.38%,合格,04-11
沃柑,广西武鸣,椰枝花,1.47%,2.20%,合格,04-11
芭蕉,海南乐东,椰枝花,2.01%,0.92%,合格,04-11
香梨,乌鲁木齐,玉玉橙橙,0.55%,3.66%,合格,04-11
金针菇,福建漳州,自采,8.61%,6.41%,合格,04-11
杏鲍菇,辽宁大连,自采,5.31%,6.23%,合格,04-11
白玉菇,福建漳州,自采,11.20%,15.90%,合格,04-11
秋葵,海口秀英,自采,14.10%,8.79%,合格,04-11
虫草花,福建漳州,自采,1.10%,3.66%,合格,04-11
平菇,海口秀英,自采,0.92%,3.66%,合格,04-11
鲜香菇,福建漳州,自采,10.30%,6.59%,合格,04-11
白洋葱,甘肃张掖,东北亚贸易,5.68%,8.06%,合格,04-11
蒜头,山东金乡,东北亚贸易,4.40%,2.20%,合格,04-17
土豆,云南通海,广西泽元,0.92%,5.86%,合格,04-17
菠菜,云南通海,东北亚贸易,24.50%,21.80%,合格,04-17
蒜苔,云南通海,广西泽元,7.33%,10.30%,合格,04-17
香菜,云南通海,东北亚贸易,10.60%,12.80%,合格,04-17
圆椒,云南通海,广西泽元,5.49%,6.23%,合格,04-17
尖椒,云南通海,广西泽元,4.03%,6.59%,合格,04-17
本地大黄瓜,海南澄迈,秀英好良心,5.49%,8.06%,合格,04-17
西兰花,云南通海,广西泽元,2.56%,5.31%,合格,04-17
丑苹果,陕西延安,玉玉橙橙,4.21%,6.96%,合格,04-17
本地小白菜,琼山七水洋,泳旺,7.88%,4.95%,合格,04-17
黑叶白,琼山七水洋,泳旺,6.23%,4.40%,合格,04-17
韭菜,云南通海,广西泽元,4.21%,5.13%,合格,04-17
莲藕,琼山七水洋,泳旺,3.66%,2.38%,合格,04-17
胡萝卜,云南通海,广西泽元,16.70%,18.10%,合格,04-17
南瓜,云南通海,广西泽元,8.24%,6.96%,合格,04-17
冬瓜,云南通海,广西泽元,8.06%,4.21%,合格,04-17
生菜,云南通海,广西泽元,4.95%,3.48%,合格,04-17
金针菇,福建漳州,自采,4.58%,1.83%,合格,04-17
杏鲍菇,辽宁大连,自采,4.58%,0.18%,合格,04-17
上海青,云南通海,广西泽元,6.41%,5.49%,合格,04-18
蒜苗,云南通海,东北亚贸易,17.90%,17.60%,合格,04-18
莴笋,云南通海,广西泽元,16.10%,12.30%,合格,04-18
西兰花,云南陆良,中商,7.14%,10.40%,合格,04-18
圆椒,云南通海,广西泽元,4.40%,4.76%,合格,04-18
菠菜,云南通海,东北亚贸易,5.49%,0.55%,合格,04-18
香菜,云南通海,东北亚贸易,11.90%,11.00%,合格,04-18
皇帝菜,山东寿光,中商,4.21%,0.00%,合格,04-18
蒜苔,云南通海,广西泽元,0.00%,0.00%,合格,04-18
茄子,云南通海,广西泽元,0.55%,5.49%,合格,04-18
大芥菜,云南陆良,中商,10.30%,7.88%,合格,04-18
苦瓜,云南通海,广西泽元,18.90%,19.00%,合格,04-18
小香芹,云南通海,广西泽元,5.13%,9.34%,合格,04-18
生姜,云南文山,东北亚贸易,3.48%,0.00%,合格,04-18
蒜头,山东金乡,东北亚贸易,2.56%,3.48%,合格,04-18
土豆,云南通海,广西泽元,3.11%,0.92%,合格,04-18
莲藕,琼山七水洋,泳旺,11.20%,10.10%,合格,04-18
本地小白菜,琼山七水洋,泳旺,4.03%,5.86%,合格,04-18
韭菜,云南通海,广西泽元,5.86%,6.04%,合格,04-18
本地大黄瓜,海南澄迈,秀英好良心,1.65%,0.00%,合格,04-18
菜心,云南通海,广西泽元,1.10%,0.00%,合格,04-15
本地小白菜,琼山大荒洋,鑫源丰,0.00%,2.93%,合格,04-15
上海青,琼山大荒洋,鑫源丰,6.04%,3.48%,合格,04-15
小芥菜,琼山大荒洋,鑫源丰,3.30%,4.76%,合格,04-15
黑叶白,琼山大荒洋,鑫源丰,13.00%,9.71%,合格,04-15
青梗小白菜,琼山大荒洋,鑫源丰,9.52%,8.61%,合格,04-15
地瓜叶,琼山大荒洋,鑫源丰,4.95%,6.96%,合格,04-15
空心菜,琼山大荒洋,鑫源丰,3.66%,6.78%,合格,04-15
茄子,琼山大荒洋,鑫源丰,6.04%,4.03%,合格,04-15
泡椒,琼山大荒洋,鑫源丰,6.59%,6.04%,合格,04-15
